sentence,entities
সাদিয়া আক্তার সম্প্রতি শঙ্খনীল কারাগার বইটি কিনেছেন।,"{'username': 'সাদিয়া আক্তার', 'bookname': 'শঙ্খনীল কারাগার'}"
অর্ডার নং অর্ডার-9334 এর জন্য টিআরএক্স-119254 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-9334', 'trnx': 'টিআরএক্স-119254'}"
কাস্টমার আইডি আইডি-71472 এর ০১৪55559687 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-71472', 'phoneno': '০১৪55559687'}"
ওয়ালটন এর নতুন ফ্রিজ এর দাম জানতে ০১৫86454928 নম্বরে কল করুন।,"{'brandname': 'ওয়ালটন', 'productname': 'ফ্রিজ', 'phoneno': '০১৫86454928'}"
গ্রাহক আইডি-46050 টিআরএক্স-900878 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-46050', 'trnx': 'টিআরএক্স-900878'}"
01/11/2024 তারিখে অর্ডার-6288 অর্ডারটি ০১৬64627061 নম্বরে ডেলিভারি হবে।,"{'date': '01/11/2024', 'orderno': 'অর্ডার-6288', 'phoneno': '০১৬64627061'}"
"শরৎচন্দ্র চট্টোপাধ্যায় এর বিজ্ঞান বইগুলি এখন শান্তিনগর, ঢাকা এ পাওয়া যাবে।","{'authorname': 'শরৎচন্দ্র চট্টোপাধ্যায়', 'categoryname': 'বিজ্ঞান', 'address': 'শান্তিনগর, ঢাকা'}"
তানভীর আহমেদ এর ওয়াশিং মেশিন অর্ডার অর্ডার-3084 প্রস্তুত।,"{'username': 'তানভীর আহমেদ', 'productname': 'ওয়াশিং মেশিন', 'orderno': 'অর্ডার-3084'}"
"তানভীর আহমেদ 31/08/2024 তারিখে উত্তরা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'তানভীর আহমেদ', 'date': '31/08/2024', 'address': 'উত্তরা, ঢাকা'}"
অর্ডার নং অর্ডার-7609 এর জন্য টিআরএক্স-773388 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-7609', 'trnx': 'টিআরএক্স-773388'}"
27/08/2024 তারিখে অর্ডার-9284 অর্ডারটি ০১৪98861922 নম্বরে ডেলিভারি হবে।,"{'date': '27/08/2024', 'orderno': 'অর্ডার-9284', 'phoneno': '০১৪98861922'}"
সৈয়দ শামসুল হক এর লেখা আমি বীরাঙ্গনা বলছি বইটি বাংলা একাডেমী থেকে প্রকাশিত হয়েছে।,"{'authorname': 'সৈয়দ শামসুল হক', 'bookname': 'আমি বীরাঙ্গনা বলছি', 'publishername': 'বাংলা একাডেমী'}"
গ্রাহক আইডি-24029 টিআরএক্স-759142 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-24029', 'trnx': 'টিআরএক্স-759142'}"
আহসান হাবীব এর লেখা পদ্মা নদীর মাঝি বইটি নলেজ হাউস থেকে প্রকাশিত হয়েছে।,"{'authorname': 'আহসান হাবীব', 'bookname': 'পদ্মা নদীর মাঝি', 'publishername': 'নলেজ হাউস'}"
গ্রাহক আইডি-32672 টিআরএক্স-182182 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-32672', 'trnx': 'টিআরএক্স-182182'}"
কাজী নজরুল ইসলাম এর নতুন বই পদ্মা নদীর মাঝি এর প্রি-অর্ডার অর্ডার-8009 চলছে।,"{'authorname': 'কাজী নজরুল ইসলাম', 'bookname': 'পদ্মা নদীর মাঝি', 'orderno': 'অর্ডার-8009'}"
কাস্টমার আইডি আইডি-76559 এর ০১৭87681638 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-76559', 'phoneno': '০১৭87681638'}"
আহসান হাবীব এর লেখা শঙ্খনীল কারাগার বইটি বিশ্বসাহিত্য কেন্দ্র থেকে প্রকাশিত হয়েছে।,"{'authorname': 'আহসান হাবীব', 'bookname': 'শঙ্খনীল কারাগার', 'publishername': 'বিশ্বসাহিত্য কেন্দ্র'}"
"করিম খান 08/07/2024 তারিখে শান্তিনগর, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'করিম খান', 'date': '08/07/2024', 'address': 'শান্তিনগর, ঢাকা'}"
সামসাং এর নতুন ওয়াশিং মেশিন এর দাম জানতে ০১৯81889438 নম্বরে কল করুন।,"{'brandname': 'সামসাং', 'productname': 'ওয়াশিং মেশিন', 'phoneno': '০১৯81889438'}"
04/06/2024 তারিখে অর্ডার-5427 অর্ডারটি ০১৭21379140 নম্বরে ডেলিভারি হবে।,"{'date': '04/06/2024', 'orderno': 'অর্ডার-5427', 'phoneno': '০১৭21379140'}"
কাজী নজরুল ইসলাম এর নতুন বই আগুনের পরশমণি এর প্রি-অর্ডার অর্ডার-8834 চলছে।,"{'authorname': 'কাজী নজরুল ইসলাম', 'bookname': 'আগুনের পরশমণি', 'orderno': 'অর্ডার-8834'}"
বাংলা একাডেমী থেকে কবিতা বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'বাংলা একাডেমী', 'categoryname': 'কবিতা'}"
কাস্টমার আইডি আইডি-96417 এর ০১৫44721749 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-96417', 'phoneno': '০১৫44721749'}"
"জামিল হোসেন বনানী, ঢাকা থেকে ইনভার্টার কিনেছেন।","{'username': 'জামিল হোসেন', 'address': 'বনানী, ঢাকা', 'productname': 'ইনভার্টার'}"
19/01/2024 থেকে নলেজ হাউস এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '19/01/2024', 'publishername': 'নলেজ হাউস'}"
03/08/2024 থেকে মাওলা ব্রাদার্স এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '03/08/2024', 'publishername': 'মাওলা ব্রাদার্স'}"
গ্রাহক আইডি-62093 টিআরএক্স-793816 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-62093', 'trnx': 'টিআরএক্স-793816'}"
কাস্টমার আইডি আইডি-84977 এর ০১৬74673835 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-84977', 'phoneno': '০১৬74673835'}"
31/08/2024 তারিখে অর্ডার-8554 অর্ডারটি ০১৭60752240 নম্বরে ডেলিভারি হবে।,"{'date': '31/08/2024', 'orderno': 'অর্ডার-8554', 'phoneno': '০১৭60752240'}"
"নাজমুল হক গুলশান-২, ঢাকা থেকে ট্যাবলেট কিনেছেন।","{'username': 'নাজমুল হক', 'address': 'গুলশান-২, ঢাকা', 'productname': 'ট্যাবলেট'}"
"সৈয়দ শামসুল হক এর কবিতা বইগুলি এখন মিরপুর-১০, ঢাকা এ পাওয়া যাবে।","{'authorname': 'সৈয়দ শামসুল হক', 'categoryname': 'কবিতা', 'address': 'মিরপুর-১০, ঢাকা'}"
31/08/2024 তারিখে অর্ডার-5088 অর্ডারটি ০১৫68205899 নম্বরে ডেলিভারি হবে।,"{'date': '31/08/2024', 'orderno': 'অর্ডার-5088', 'phoneno': '০১৫68205899'}"
01/03/2024 তারিখে অর্ডার-1103 অর্ডারটি ০১৪51922412 নম্বরে ডেলিভারি হবে।,"{'date': '01/03/2024', 'orderno': 'অর্ডার-1103', 'phoneno': '০১৪51922412'}"
11/07/2024 থেকে সাহিত্য প্রকাশ এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '11/07/2024', 'publishername': 'সাহিত্য প্রকাশ'}"
01/08/2024 থেকে নলেজ হাউস এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '01/08/2024', 'publishername': 'নলেজ হাউস'}"
"আহসান হাবীব এর জীবনী বইগুলি এখন মোহাম্মদপুর, ঢাকা এ পাওয়া যাবে।","{'authorname': 'আহসান হাবীব', 'categoryname': 'জীবনী', 'address': 'মোহাম্মদপুর, ঢাকা'}"
"তানভীর আহমেদ বনানী, ঢাকা থেকে ফ্রিজ কিনেছেন।","{'username': 'তানভীর আহমেদ', 'address': 'বনানী, ঢাকা', 'productname': 'ফ্রিজ'}"
"জাহিদ হাসান 31/07/2024 তারিখে বনানী, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'জাহিদ হাসান', 'date': '31/07/2024', 'address': 'বনানী, ঢাকা'}"
"নাসরিন সুলতানা 19/01/2024 তারিখে বারিধারা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'নাসরিন সুলতানা', 'date': '19/01/2024', 'address': 'বারিধারা, ঢাকা'}"
"রহিম আহমেদ মিরপুর-১০, ঢাকা থেকে টেলিভিশন কিনেছেন।","{'username': 'রহিম আহমেদ', 'address': 'মিরপুর-১০, ঢাকা', 'productname': 'টেলিভিশন'}"
"নাজমুল হক মিরপুর-১০, ঢাকা থেকে ট্যাবলেট কিনেছেন।","{'username': 'নাজমুল হক', 'address': 'মিরপুর-১০, ঢাকা', 'productname': 'ট্যাবলেট'}"
জসীমউদ্দীন এর লেখা আগুনের পরশমণি বইটি নলেজ হাউস থেকে প্রকাশিত হয়েছে।,"{'authorname': 'জসীমউদ্দীন', 'bookname': 'আগুনের পরশমণি', 'publishername': 'নলেজ হাউস'}"
"নাজমুল হক 31/07/2024 তারিখে পূর্বাচল, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'নাজমুল হক', 'date': '31/07/2024', 'address': 'পূর্বাচল, ঢাকা'}"
গ্রাহক আইডি-58359 টিআরএক্স-207008 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-58359', 'trnx': 'টিআরএক্স-207008'}"
14/02/2024 তারিখে অর্ডার-9650 অর্ডারটি ০১৪96505271 নম্বরে ডেলিভারি হবে।,"{'date': '14/02/2024', 'orderno': 'অর্ডার-9650', 'phoneno': '০১৪96505271'}"
সৈয়দ শামসুল হক এর লেখা আমি বীরাঙ্গনা বলছি বইটি মাওলা ব্রাদার্স থেকে প্রকাশিত হয়েছে।,"{'authorname': 'সৈয়দ শামসুল হক', 'bookname': 'আমি বীরাঙ্গনা বলছি', 'publishername': 'মাওলা ব্রাদার্স'}"
হাইয়ার এর নতুন ল্যাপটপ এর দাম জানতে ০১৪50138076 নম্বরে কল করুন।,"{'brandname': 'হাইয়ার', 'productname': 'ল্যাপটপ', 'phoneno': '০১৪50138076'}"
জসীমউদ্দীন এর লেখা দেয়াল বইটি নলেজ হাউস থেকে প্রকাশিত হয়েছে।,"{'authorname': 'জসীমউদ্দীন', 'bookname': 'দেয়াল', 'publishername': 'নলেজ হাউস'}"
গ্রাহক আইডি-37322 টিআরএক্স-550685 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-37322', 'trnx': 'টিআরএক্স-550685'}"
কাজী নজরুল ইসলাম এর নতুন বই চাঁদের অমাবস্যা এর প্রি-অর্ডার অর্ডার-9160 চলছে।,"{'authorname': 'কাজী নজরুল ইসলাম', 'bookname': 'চাঁদের অমাবস্যা', 'orderno': 'অর্ডার-9160'}"
কাস্টমার আইডি আইডি-84847 এর ০১৬65970288 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-84847', 'phoneno': '০১৬65970288'}"
09/11/2024 তারিখে অর্ডার-5883 অর্ডারটি ০১৯97185246 নম্বরে ডেলিভারি হবে।,"{'date': '09/11/2024', 'orderno': 'অর্ডার-5883', 'phoneno': '০১৯97185246'}"
কাস্টমার আইডি আইডি-79203 এর ০১৬77945166 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-79203', 'phoneno': '০১৬77945166'}"
কাস্টমার আইডি আইডি-17569 এর ০১৮20154781 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-17569', 'phoneno': '০১৮20154781'}"
এলজি এর নতুন ল্যাপটপ এর দাম জানতে ০১৮45962258 নম্বরে কল করুন।,"{'brandname': 'এলজি', 'productname': 'ল্যাপটপ', 'phoneno': '০১৮45962258'}"
অর্ডার নং অর্ডার-3041 এর জন্য টিআরএক্স-438995 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-3041', 'trnx': 'টিআরএক্স-438995'}"
"ফাতেমা বেগম 25/08/2024 তারিখে পূর্বাচল, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'ফাতেমা বেগম', 'date': '25/08/2024', 'address': 'পূর্বাচল, ঢাকা'}"
আহসান হাবীব এর নতুন বই নক্ষত্রের রাত এর প্রি-অর্ডার অর্ডার-2209 চলছে।,"{'authorname': 'আহসান হাবীব', 'bookname': 'নক্ষত্রের রাত', 'orderno': 'অর্ডার-2209'}"
ওয়ালটন এর নতুন ট্যাবলেট এর দাম জানতে ০১৮23085248 নম্বরে কল করুন।,"{'brandname': 'ওয়ালটন', 'productname': 'ট্যাবলেট', 'phoneno': '০১৮23085248'}"
করিম খান সম্প্রতি পদ্মা নদীর মাঝি বইটি কিনেছেন।,"{'username': 'করিম খান', 'bookname': 'পদ্মা নদীর মাঝি'}"
অ্যাপল এর নতুন ওয়াশিং মেশিন এর দাম জানতে ০১৭19913576 নম্বরে কল করুন।,"{'brandname': 'অ্যাপল', 'productname': 'ওয়াশিং মেশিন', 'phoneno': '০১৭19913576'}"
অর্ডার নং অর্ডার-7224 এর জন্য টিআরএক্স-726697 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-7224', 'trnx': 'টিআরএক্স-726697'}"
অর্ডার নং অর্ডার-4733 এর জন্য টিআরএক্স-622474 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-4733', 'trnx': 'টিআরএক্স-622474'}"
অর্ডার নং অর্ডার-1919 এর জন্য টিআরএক্স-481341 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-1919', 'trnx': 'টিআরএক্স-481341'}"
27/07/2024 তারিখে অর্ডার-2241 অর্ডারটি ০১৭24031696 নম্বরে ডেলিভারি হবে।,"{'date': '27/07/2024', 'orderno': 'অর্ডার-2241', 'phoneno': '০১৭24031696'}"
"কাজী নজরুল ইসলাম এর আত্মজীবনী বইগুলি এখন মিরপুর-১০, ঢাকা এ পাওয়া যাবে।","{'authorname': 'কাজী নজরুল ইসলাম', 'categoryname': 'আত্মজীবনী', 'address': 'মিরপুর-১০, ঢাকা'}"
কাস্টমার আইডি আইডি-26567 এর ০১৮60965241 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-26567', 'phoneno': '০১৮60965241'}"
অর্ডার নং অর্ডার-8421 এর জন্য টিআরএক্স-309225 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-8421', 'trnx': 'টিআরএক্স-309225'}"
"নাজমুল হক 07/11/2024 তারিখে বারিধারা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'নাজমুল হক', 'date': '07/11/2024', 'address': 'বারিধারা, ঢাকা'}"
11/08/2024 তারিখে অর্ডার-8150 অর্ডারটি ০১৮53670678 নম্বরে ডেলিভারি হবে।,"{'date': '11/08/2024', 'orderno': 'অর্ডার-8150', 'phoneno': '০১৮53670678'}"
"সৈয়দ মুজতবা আলী এর ভ্রমণ বইগুলি এখন বনানী, ঢাকা এ পাওয়া যাবে।","{'authorname': 'সৈয়দ মুজতবা আলী', 'categoryname': 'ভ্রমণ', 'address': 'বনানী, ঢাকা'}"
প্যানাসনিক এর নতুন স্মার্ট ফোন এর দাম জানতে ০১৩68338346 নম্বরে কল করুন।,"{'brandname': 'প্যানাসনিক', 'productname': 'স্মার্ট ফোন', 'phoneno': '০১৩68338346'}"
"বেগম রোকেয়া এর রহস্য বইগুলি এখন ধানমন্ডি, ঢাকা এ পাওয়া যাবে।","{'authorname': 'বেগম রোকেয়া', 'categoryname': 'রহস্য', 'address': 'ধানমন্ডি, ঢাকা'}"
জসীমউদ্দীন এর নতুন বই চাঁদের অমাবস্যা এর প্রি-অর্ডার অর্ডার-9501 চলছে।,"{'authorname': 'জসীমউদ্দীন', 'bookname': 'চাঁদের অমাবস্যা', 'orderno': 'অর্ডার-9501'}"
বেগম রোকেয়া এর নতুন বই চাঁদের অমাবস্যা এর প্রি-অর্ডার অর্ডার-8173 চলছে।,"{'authorname': 'বেগম রোকেয়া', 'bookname': 'চাঁদের অমাবস্যা', 'orderno': 'অর্ডার-8173'}"
14/03/2024 তারিখে অর্ডার-9434 অর্ডারটি ০১৬33515516 নম্বরে ডেলিভারি হবে।,"{'date': '14/03/2024', 'orderno': 'অর্ডার-9434', 'phoneno': '০১৬33515516'}"
কাস্টমার আইডি আইডি-64753 এর ০১৪57724110 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-64753', 'phoneno': '০১৪57724110'}"
অ্যাপল এর নতুন ট্যাবলেট এর দাম জানতে ০১৫76066821 নম্বরে কল করুন।,"{'brandname': 'অ্যাপল', 'productname': 'ট্যাবলেট', 'phoneno': '০১৫76066821'}"
নাজমুল হক এর ল্যাপটপ অর্ডার অর্ডার-9801 প্রস্তুত।,"{'username': 'নাজমুল হক', 'productname': 'ল্যাপটপ', 'orderno': 'অর্ডার-9801'}"
"সাদিয়া আক্তার 01/11/2024 তারিখে উত্তরা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'সাদিয়া আক্তার', 'date': '01/11/2024', 'address': 'উত্তরা, ঢাকা'}"
"জামিল হোসেন বারিধারা, ঢাকা থেকে টেলিভিশন কিনেছেন।","{'username': 'জামিল হোসেন', 'address': 'বারিধারা, ঢাকা', 'productname': 'টেলিভিশন'}"
কাজী নজরুল ইসলাম এর নতুন বই হিমু এর প্রি-অর্ডার অর্ডার-6619 চলছে।,"{'authorname': 'কাজী নজরুল ইসলাম', 'bookname': 'হিমু', 'orderno': 'অর্ডার-6619'}"
শাওমি এর জীবনী পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'শাওমি', 'categoryname': 'জীবনী'}"
অর্ডার নং অর্ডার-3605 এর জন্য টিআরএক্স-958298 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-3605', 'trnx': 'টিআরএক্স-958298'}"
"তানভীর আহমেদ 03/06/2024 তারিখে রামপুরা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'তানভীর আহমেদ', 'date': '03/06/2024', 'address': 'রামপুরা, ঢাকা'}"
"রহিম আহমেদ গুলশান-২, ঢাকা থেকে স্মার্ট ফোন কিনেছেন।","{'username': 'রহিম আহমেদ', 'address': 'গুলশান-২, ঢাকা', 'productname': 'স্মার্ট ফোন'}"
15/05/2024 থেকে জ্ঞানকোষ প্রকাশনী এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '15/05/2024', 'publishername': 'জ্ঞানকোষ প্রকাশনী'}"
05/02/2024 থেকে পাঠক সমাবেশ এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '05/02/2024', 'publishername': 'পাঠক সমাবেশ'}"
গ্রাহক আইডি-76844 টিআরএক্স-323892 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-76844', 'trnx': 'টিআরএক্স-323892'}"
"করিম খান 21/04/2024 তারিখে বারিধারা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'করিম খান', 'date': '21/04/2024', 'address': 'বারিধারা, ঢাকা'}"
"জাহিদ হাসান উত্তরা, ঢাকা থেকে স্মার্টওয়াচ কিনেছেন।","{'username': 'জাহিদ হাসান', 'address': 'উত্তরা, ঢাকা', 'productname': 'স্মার্টওয়াচ'}"
গ্রাহক আইডি-97210 টিআরএক্স-891617 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-97210', 'trnx': 'টিআরএক্স-891617'}"
তানভীর আহমেদ এর মাইক্রোওয়েভ অভেন অর্ডার অর্ডার-3434 প্রস্তুত।,"{'username': 'তানভীর আহমেদ', 'productname': 'মাইক্রোওয়েভ অভেন', 'orderno': 'অর্ডার-3434'}"
জাহিদ হাসান এর ল্যাপটপ অর্ডার অর্ডার-9837 প্রস্তুত।,"{'username': 'জাহিদ হাসান', 'productname': 'ল্যাপটপ', 'orderno': 'অর্ডার-9837'}"
"করিম খান শান্তিনগর, ঢাকা থেকে ফ্রিজ কিনেছেন।","{'username': 'করিম খান', 'address': 'শান্তিনগর, ঢাকা', 'productname': 'ফ্রিজ'}"
বেগম রোকেয়া এর নতুন বই লাল সবুজ এর প্রি-অর্ডার অর্ডার-5399 চলছে।,"{'authorname': 'বেগম রোকেয়া', 'bookname': 'লাল সবুজ', 'orderno': 'অর্ডার-5399'}"
"নাজমুল হক 05/05/2024 তারিখে বনানী, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'নাজমুল হক', 'date': '05/05/2024', 'address': 'বনানী, ঢাকা'}"
হুয়াওয়ে এর নতুন ট্যাবলেট এর দাম জানতে ০১৯79101869 নম্বরে কল করুন।,"{'brandname': 'হুয়াওয়ে', 'productname': 'ট্যাবলেট', 'phoneno': '০১৯79101869'}"
গ্রাহক আইডি-80800 টিআরএক্স-225627 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-80800', 'trnx': 'টিআরএক্স-225627'}"
08/07/2024 থেকে পাঠক সমাবেশ এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '08/07/2024', 'publishername': 'পাঠক সমাবেশ'}"
"সুফিয়া কামাল এর আত্মজীবনী বইগুলি এখন গুলশান-২, ঢাকা এ পাওয়া যাবে।","{'authorname': 'সুফিয়া কামাল', 'categoryname': 'আত্মজীবনী', 'address': 'গুলশান-২, ঢাকা'}"
নাসরিন সুলতানা এর টেলিভিশন অর্ডার অর্ডার-8536 প্রস্তুত।,"{'username': 'নাসরিন সুলতানা', 'productname': 'টেলিভিশন', 'orderno': 'অর্ডার-8536'}"
কাজী নজরুল ইসলাম এর লেখা সীমানা ছাড়িয়ে বইটি সাহিত্য প্রকাশ থেকে প্রকাশিত হয়েছে।,"{'authorname': 'কাজী নজরুল ইসলাম', 'bookname': 'সীমানা ছাড়িয়ে', 'publishername': 'সাহিত্য প্রকাশ'}"
"সাদিয়া আক্তার মোহাম্মদপুর, ঢাকা থেকে মাইক্রোওয়েভ অভেন কিনেছেন।","{'username': 'সাদিয়া আক্তার', 'address': 'মোহাম্মদপুর, ঢাকা', 'productname': 'মাইক্রোওয়েভ অভেন'}"
হাইয়ার এর ভ্রমণ পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'হাইয়ার', 'categoryname': 'ভ্রমণ'}"
সাদিয়া আক্তার এর ওয়াশিং মেশিন অর্ডার অর্ডার-4074 প্রস্তুত।,"{'username': 'সাদিয়া আক্তার', 'productname': 'ওয়াশিং মেশিন', 'orderno': 'অর্ডার-4074'}"
হুয়াওয়ে এর কবিতা পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'হুয়াওয়ে', 'categoryname': 'কবিতা'}"
গ্রাহক আইডি-69682 টিআরএক্স-252509 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-69682', 'trnx': 'টিআরএক্স-252509'}"
"রবীন্দ্রনাথ ঠাকুর এর উপন্যাস বইগুলি এখন বনানী, ঢাকা এ পাওয়া যাবে।","{'authorname': 'রবীন্দ্রনাথ ঠাকুর', 'categoryname': 'উপন্যাস', 'address': 'বনানী, ঢাকা'}"
বেগম রোকেয়া এর লেখা আগুনের পরশমণি বইটি বিশ্বসাহিত্য কেন্দ্র থেকে প্রকাশিত হয়েছে।,"{'authorname': 'বেগম রোকেয়া', 'bookname': 'আগুনের পরশমণি', 'publishername': 'বিশ্বসাহিত্য কেন্দ্র'}"
গ্রাহক আইডি-40946 টিআরএক্স-484993 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-40946', 'trnx': 'টিআরএক্স-484993'}"
অর্ডার নং অর্ডার-8198 এর জন্য টিআরএক্স-638783 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-8198', 'trnx': 'টিআরএক্স-638783'}"
গ্রাহক আইডি-74873 টিআরএক্স-307990 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-74873', 'trnx': 'টিআরএক্স-307990'}"
11/01/2024 তারিখে অর্ডার-1215 অর্ডারটি ০১৯29680169 নম্বরে ডেলিভারি হবে।,"{'date': '11/01/2024', 'orderno': 'অর্ডার-1215', 'phoneno': '০১৯29680169'}"
নাজমুল হক এর ল্যাপটপ অর্ডার অর্ডার-4222 প্রস্তুত।,"{'username': 'নাজমুল হক', 'productname': 'ল্যাপটপ', 'orderno': 'অর্ডার-4222'}"
সামসাং এর ইতিহাস পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'সামসাং', 'categoryname': 'ইতিহাস'}"
অর্ডার নং অর্ডার-6524 এর জন্য টিআরএক্স-356853 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-6524', 'trnx': 'টিআরএক্স-356853'}"
"ফাতেমা বেগম গুলশান-২, ঢাকা থেকে মাইক্রোওয়েভ অভেন কিনেছেন।","{'username': 'ফাতেমা বেগম', 'address': 'গুলশান-২, ঢাকা', 'productname': 'মাইক্রোওয়েভ অভেন'}"
শাওমি এর নতুন টেলিভিশন এর দাম জানতে ০১৭50688963 নম্বরে কল করুন।,"{'brandname': 'শাওমি', 'productname': 'টেলিভিশন', 'phoneno': '০১৭50688963'}"
সৈয়দ শামসুল হক এর নতুন বই সীমানা ছাড়িয়ে এর প্রি-অর্ডার অর্ডার-4014 চলছে।,"{'authorname': 'সৈয়দ শামসুল হক', 'bookname': 'সীমানা ছাড়িয়ে', 'orderno': 'অর্ডার-4014'}"
"আহসান হাবীব এর রহস্য বইগুলি এখন রামপুরা, ঢাকা এ পাওয়া যাবে।","{'authorname': 'আহসান হাবীব', 'categoryname': 'রহস্য', 'address': 'রামপুরা, ঢাকা'}"
29/07/2024 থেকে নলেজ হাউস এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '29/07/2024', 'publishername': 'নলেজ হাউস'}"
15/07/2024 তারিখে অর্ডার-2366 অর্ডারটি ০১৬79557881 নম্বরে ডেলিভারি হবে।,"{'date': '15/07/2024', 'orderno': 'অর্ডার-2366', 'phoneno': '০১৬79557881'}"
বেগম রোকেয়া এর নতুন বই পদ্মা নদীর মাঝি এর প্রি-অর্ডার অর্ডার-9417 চলছে।,"{'authorname': 'বেগম রোকেয়া', 'bookname': 'পদ্মা নদীর মাঝি', 'orderno': 'অর্ডার-9417'}"
নাসরিন সুলতানা সম্প্রতি নক্ষত্রের রাত বইটি কিনেছেন।,"{'username': 'নাসরিন সুলতানা', 'bookname': 'নক্ষত্রের রাত'}"
গ্রাহক আইডি-20450 টিআরএক্স-935943 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-20450', 'trnx': 'টিআরএক্স-935943'}"
বেগম রোকেয়া এর নতুন বই দেয়াল এর প্রি-অর্ডার অর্ডার-3023 চলছে।,"{'authorname': 'বেগম রোকেয়া', 'bookname': 'দেয়াল', 'orderno': 'অর্ডার-3023'}"
16/11/2024 তারিখে অর্ডার-4390 অর্ডারটি ০১৬10826423 নম্বরে ডেলিভারি হবে।,"{'date': '16/11/2024', 'orderno': 'অর্ডার-4390', 'phoneno': '০১৬10826423'}"
06/01/2024 থেকে মাওলা ব্রাদার্স এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '06/01/2024', 'publishername': 'মাওলা ব্রাদার্স'}"
"জাহিদ হাসান 28/06/2024 তারিখে বারিধারা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'জাহিদ হাসান', 'date': '28/06/2024', 'address': 'বারিধারা, ঢাকা'}"
গ্রাহক আইডি-95600 টিআরএক্স-699386 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-95600', 'trnx': 'টিআরএক্স-699386'}"
বেগম রোকেয়া এর লেখা আগুনের পরশমণি বইটি অনন্য প্রকাশন থেকে প্রকাশিত হয়েছে।,"{'authorname': 'বেগম রোকেয়া', 'bookname': 'আগুনের পরশমণি', 'publishername': 'অনন্য প্রকাশন'}"
